parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D217949,Intercept]	0.95	0.8	median	-1.2215107373678242	-0.9558929031568757	-0.45250567778413087	0.0892175127783025	0.3569909161846387
r_site:id[NYR_D217961,Intercept]	0.95	0.8	median	-0.5781238717227115	-0.37768916851237067	0.026498981316676957	0.45264469667945345	0.685974878208073
r_site:id[NYR_D217964,Intercept]	0.95	0.8	median	-0.5788532416358537	-0.28792644486629976	0.19936936286051635	0.7313573568371643	0.9985040747550751
r_site:id[NYR_D217965,Intercept]	0.95	0.8	median	0.5143835773070149	0.8066802731358964	1.3211409653513229	1.8027383782906468	2.0736267059476585
r_site:id[NYR_D229096,Intercept]	0.95	0.8	median	-1.0722174689251942	-0.8257133241754142	-0.38893232924923776	0.06491040590656548	0.27926554003428117
r_site:id[NYR_D229154,Intercept]	0.95	0.8	median	-0.6411352739297215	-0.36958448249255665	0.07182332660856766	0.5318851458363832	0.7387261561170108
r_site:id[NYR_D229556,Intercept]	0.95	0.8	median	-1.0008402768096452	-0.732049511252139	-0.13006756158880312	0.45178573909941905	0.7843327381779271
r_site:id[NYR_D229714,Intercept]	0.95	0.8	median	-0.15936284176414958	0.15834564802932422	0.7637885914091056	1.4211608911603173	1.824132057452573
r_site:id[NYR_D229716,Intercept]	0.95	0.8	median	-0.6411872092471727	-0.3263503486344454	0.25931878952625587	0.8583194411984426	1.18259741591629
r_site:id[NYR_D229718,Intercept]	0.95	0.8	median	-0.8465849461870303	-0.5698327566405382	-0.04185858501472735	0.45380960472248644	0.7367606314941162
r_site:id[NYR_D229770,Intercept]	0.95	0.8	median	-0.24522203566958917	0.06550553253299876	0.6647096877482017	1.335471231476065	1.6628296755018068
r_site:id[NYR_D229772,Intercept]	0.95	0.8	median	-0.7169443542589728	-0.4679906107671545	0.06768943262944596	0.5810900814425979	0.8763554974341223
r_site:id[NYR_D229783,Intercept]	0.95	0.8	median	-1.226629825174339	-1.008825004610554	-0.5520367659725645	-0.09484066958198109	0.14346252816445715
r_site:id[NYR_D229784,Intercept]	0.95	0.8	median	-0.25058220099010853	-0.007138852685445572	0.4389780940685165	0.8963849170630038	1.1329720837783561
r_site:id[NYR_D237276,Intercept]	0.95	0.8	median	-0.9871272032720668	-0.636258495592307	-0.018811923573335068	0.5590318948584615	0.8683144039039751
r_site:id[NYR_D237277,Intercept]	0.95	0.8	median	-0.8899384889684447	-0.5735374844014257	0.006964190361841639	0.5719243952956463	0.9387623112352698
r_site:id[NYR_D237278,Intercept]	0.95	0.8	median	-1.2084493097327715	-0.8553314801453449	-0.23693866998769647	0.3277346038361917	0.664021611187448
r_site:id[NYR_D237352,Intercept]	0.95	0.8	median	-1.4195318795949188	-1.0668767554745913	-0.4379982756454892	0.13477186523814136	0.43807673412359677
r_site:id[NYR_D237360,Intercept]	0.95	0.8	median	-0.7985326852618398	-0.4744523659913418	0.11067181076690379	0.7045213940306663	1.0187473101122781
r_site:id[NYR_D237361,Intercept]	0.95	0.8	median	-1.098732861999485	-0.8357013094301863	-0.3180119097424505	0.18152473409072734	0.45374502776438314
r_site:id[NYR_D237378,Intercept]	0.95	0.8	median	-1.6817856312140518	-1.287767880767503	-0.6583640226411976	-0.04935257792662666	0.2251916935611029
r_site:id[NYR_D237379,Intercept]	0.95	0.8	median	-1.0108946437163053	-0.6866617678786451	-0.08856374543669426	0.507029953569441	0.7977806798726971
r_site:id[NYR_D237391,Intercept]	0.95	0.8	median	-0.2997797736979352	-0.04376444405822408	0.3967573360032623	0.8920376135490251	1.1303055971488118
r_site:id[NYR_D237394,Intercept]	0.95	0.8	median	-1.553525752100153	-1.2668682210344142	-0.706348557536552	-0.2035392962763607	0.07193754777402356
r_site:id[NYR_D243901,Intercept]	0.95	0.8	median	-0.442632381230796	-0.12639532222882388	0.46224019342846245	1.0585763202244014	1.3654835379918415
r_site:id[NYR_D243916,Intercept]	0.95	0.8	median	-1.0458232024734442	-0.6675423185351455	-0.08707421891134856	0.4988461029196982	0.791653531528817
r_site:id[NYR_D243918,Intercept]	0.95	0.8	median	-1.274658597169229	-0.9409999001872111	-0.3385196042970221	0.25817638591709363	0.5544208933604102
r_site:id[NYR_D244032,Intercept]	0.95	0.8	median	-1.4473356654078875	-1.1218918898117909	-0.5874188674568176	-0.07046795513058515	0.1710129703509545
r_site:id[NYR_D244033,Intercept]	0.95	0.8	median	0.44814607540726525	0.7751136507991525	1.4984232491770775	2.2569537464678633	2.748276528961545
r_site:id[NYR_D244077,Intercept]	0.95	0.8	median	-0.9209012476219288	-0.5792359391327954	0.006989161020207554	0.5890796850329794	0.8893928706136625
r_site:id[NYR_D244162,Intercept]	0.95	0.8	median	-0.7409097014616012	-0.4083413275791642	0.16426916585653764	0.747009251464593	1.0800393476329224
r_site:id[NYR_D244163,Intercept]	0.95	0.8	median	-1.057762346909261	-0.7199512960205594	-0.1366039766736118	0.4484965936599106	0.7527636488400955
r_site:id[NYR_D244168,Intercept]	0.95	0.8	median	-0.43379135663939955	-0.1985124138109146	0.19843148461808655	0.5906689732461002	0.8262315411176342
r_site:id[NYR_D244179,Intercept]	0.95	0.8	median	-0.8251864304761142	-0.48725463867457314	0.07918302601730848	0.6718820547174796	0.9941545912672807
r_site:id[NYR_D247994,Intercept]	0.95	0.8	median	-0.7737319827027125	-0.41148820492255983	0.17941493732410574	0.7867969363058718	1.1389277517715386
r_site:id[SAA_D229097,Intercept]	0.95	0.8	median	-1.2485549748271312	-0.9554157847215371	-0.43774731262423283	0.09241025998278495	0.38046930636533804
r_site:id[SAA_D229103,Intercept]	0.95	0.8	median	-0.8162203528224176	-0.5248828820373456	0.08043105270102681	0.6819666643051757	0.9946300817893867
r_site:id[SAA_D229160,Intercept]	0.95	0.8	median	-0.9176251164644696	-0.6811076953623613	-0.21062965147332002	0.23882611152683017	0.4627404684145086
r_site:id[SAA_D229161,Intercept]	0.95	0.8	median	-0.926445936433882	-0.5875820547190603	0.0042028060313621576	0.5822926068093583	0.9189819806019401
r_site:id[SAA_D229162,Intercept]	0.95	0.8	median	-0.8921601333528986	-0.569534764821715	0.015939213993764717	0.6116203752469394	0.9311640383122533
r_site:id[SAA_D229170,Intercept]	0.95	0.8	median	-1.64687567830406	-1.35618973600859	-0.7674742835100592	-0.24402021579475647	0.024790062861515264
r_site:id[SAA_D229171,Intercept]	0.95	0.8	median	-1.0787759093546638	-0.7933081998321349	-0.287019624958715	0.25065324512900566	0.5543751796871147
r_site:id[SAA_D229186,Intercept]	0.95	0.8	median	-0.9250916091865962	-0.6747313552657814	-0.22969742547875216	0.18265745369521383	0.40638318551215835
r_site:id[SAA_D229633,Intercept]	0.95	0.8	median	-1.159699588858658	-0.8122057490466346	-0.19563264036157396	0.40141559001963756	0.7360224998752646
r_site:id[SAA_D229638,Intercept]	0.95	0.8	median	-0.7826581185190207	-0.48299483683003563	0.09753587347424467	0.7052615871238193	1.0346812627888973
r_site:id[SAA_D229759,Intercept]	0.95	0.8	median	-1.0139269316926458	-0.7137192196681689	-0.2113501647157293	0.314148802828934	0.578615472719863
r_site:id[SAA_D229775,Intercept]	0.95	0.8	median	-1.1503216754265588	-0.8148365828953927	-0.21058297582909458	0.37386690225223534	0.6817507951084121
r_site:id[SAA_D229777,Intercept]	0.95	0.8	median	-0.5375934795967139	-0.2650430628240829	0.17611192283730054	0.6276341771225701	0.8710616482795518
r_site:id[SAA_D229780,Intercept]	0.95	0.8	median	-0.8484859765659459	-0.5479102390497294	-0.029084442091457018	0.44593165816536906	0.7135423278522767
r_site:id[SAA_D237232,Intercept]	0.95	0.8	median	-0.894944304927919	-0.6188446758203395	-0.12948406543253743	0.3904885149571238	0.6529372904651373
r_site:id[SAA_D237233,Intercept]	0.95	0.8	median	0.09946694095434057	0.39121422124743666	1.036244475533123	1.7047589090064634	2.096344376345021
r_site:id[SAA_D237355,Intercept]	0.95	0.8	median	-0.6238494187370567	-0.30920892428521524	0.27673881983165305	0.8999260297438935	1.2339016755057681
r_site:id[SAA_D237369,Intercept]	0.95	0.8	median	-0.5234630251910374	-0.20281647647104972	0.3689705107146303	0.9887158930438837	1.3589305533869027
r_site:id[SAA_D237371,Intercept]	0.95	0.8	median	-1.2573861433241234	-0.9140327994154481	-0.29284205719231277	0.30120873840981366	0.6104473458195607
r_site:id[SAA_D244005,Intercept]	0.95	0.8	median	-1.0697217462520603	-0.7787956409617843	-0.33186356473473155	0.13780310957829137	0.39906298940169893
r_site:id[SAA_D244029,Intercept]	0.95	0.8	median	0.719710111617522	1.1393947036857017	1.9428404903664398	2.825725511107235	3.242806279840365
r_site:id[SAA_D244045,Intercept]	0.95	0.8	median	-0.7982022535203115	-0.46490291392897776	0.11420164114764057	0.6799205534159389	1.0289752080512473
r_site:id[SAA_D244073,Intercept]	0.95	0.8	median	-1.035470465314374	-0.7223315964542851	-0.11820751866474227	0.44995458683495615	0.7673491801165421
r_site:id[SAA_D244086,Intercept]	0.95	0.8	median	-0.8248935390587553	-0.5554834794415733	0.04799192158969058	0.6307927805649877	0.9459545219674145
r_site:id[SAA_D244087,Intercept]	0.95	0.8	median	-1.0165565577105915	-0.7017006274095768	-0.11703581739993527	0.4910550605277237	0.7859545783014115
r_site:id[SAA_D244123,Intercept]	0.95	0.8	median	-1.0972215892600679	-0.7861241276774141	-0.2090830441344211	0.37846385216475803	0.64684338931284735
r_site:id[TEE_D154259,Intercept]	0.95	0.8	median	-1.1254866694260999	-0.8573508399537959	-0.34709306291364966	0.10778488099015461	0.37164227945345496
r_site:id[TEE_D154299,Intercept]	0.95	0.8	median	-0.7457157991558794	-0.48872779719597004	0.038708691464777525	0.5597433533755589	0.8143818845111734
r_site:id[TEE_D211445,Intercept]	0.95	0.8	median	-0.740370548778727	-0.49604181184693313	-0.062367098629410506	0.40341931469020365	0.6547374859055926
r_site:id[TEE_D211451,Intercept]	0.95	0.8	median	-0.5493013430224064	-0.2428950244790482	0.3368883685336056	0.9462983483841445	1.2866053689235983
