parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
r_site:id[TEE_D229676,Intercept],0.95,0.8,median,-1.43602198938419,-0.749562589982133,0.281784568210075,1.20756445373194,1.80508849859663
r_site:id[TEE_D229705,Intercept],0.95,0.8,median,-0.580632112058004,-0.267089283190044,0.315007932670841,0.895943473956721,1.18054383364407
r_site:id[TEE_D229707,Intercept],0.95,0.8,median,-2.30682965810095,-1.57962228441467,-0.304963253471326,1.11001150601934,1.77624607868608
r_site:id[TEE_D229753,Intercept],0.95,0.8,median,-1.64602470059654,-1.32916561821143,-0.716044376037324,-0.120853479892694,0.172768882485994
r_site:id[TEE_D237304,Intercept],0.95,0.8,median,-2.18001160298876,-1.51396020438057,-0.333807319123543,0.861747408597751,1.58544416736436
r_site:id[TEE_D237385,Intercept],0.95,0.8,median,-2.34208921816323,-1.73675259167721,-0.563940543109903,0.557339837059368,1.24317170533794
r_site:id[TEE_D244025,Intercept],0.95,0.8,median,-2.26953127532377,-1.4647524966934,-0.279366796792187,0.908762699258795,1.57920138832247
r_site:id[TEE_D244027,Intercept],0.95,0.8,median,-1.64358901130516,-1.12994157253112,-0.206678083241836,0.675573943865932,1.13016279307585
r_year[2002,Intercept],0.95,0.8,median,-1.27987640280951,-0.772909904495748,-0.122517303004147,0.389975421070069,0.675115638219187
r_year[2003,Intercept],0.95,0.8,median,-0.758470857466835,-0.490744695281306,-0.0983619651286413,0.285924369690231,0.499864759123765
r_year[2004,Intercept],0.95,0.8,median,-0.554922282368392,-0.338977114496891,0.0461434713642036,0.46804375433959,0.737082454863693
r_year[2005,Intercept],0.95,0.8,median,-0.42085388500234,-0.258480355519728,0.0528054930649551,0.422109111019005,0.625854352506974
r_year[2006,Intercept],0.95,0.8,median,-1.05155267542042,-0.8013976806154,-0.395876208747004,-0.0356021579553602,0.160552500933721
r_year[2007,Intercept],0.95,0.8,median,0.139660119917963,0.291774511408675,0.619287597137983,0.996752773902922,1.25605252855915
r_year[2008,Intercept],0.95,0.8,median,-0.48753194325915,-0.315319546685825,0.0124414060866364,0.383713562807953,0.607064348241629
r_year[2009,Intercept],0.95,0.8,median,-0.844445423279636,-0.592103312533751,-0.213065131664384,0.133258070062971,0.358429767194874
r_year[2010,Intercept],0.95,0.8,median,-0.897613297698359,-0.569127441429014,-0.0818879545102542,0.360575138269171,0.617993660532148
r_year[2011,Intercept],0.95,0.8,median,-0.374069060264934,-0.151163284253724,0.279668895762465,0.839070392443683,1.15600479763311
lprior,0.95,0.8,median,-15.781160523668,-15.3111553654437,-14.6777997841888,-14.2584899044243,-14.0716953263626
lp__,0.95,0.8,median,-592.939838176583,-583.954015636274,-566.505118235617,-551.59898678459,-542.463414977332
