parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25620229579507,0.340248197293645,0.448797154874898,0.57122267435926,0.658864249570118
r_site:id[NYR_D229718,Intercept],0.95,0.8,median,-0.610243116406864,-0.410573282386211,-0.110806995962645,0.148103466329837,0.303463747082436
r_site:id[NYR_D229770,Intercept],0.95,0.8,median,-0.531355039408012,-0.315747846256168,0.0190963108008951,0.353131947507773,0.572262386573922
r_site:id[NYR_D229771,Intercept],0.95,0.8,median,-0.910352808219694,-0.685629058274459,-0.235143555877602,0.0877606095955418,0.225812693339564
r_site:id[NYR_D229772,Intercept],0.95,0.8,median,-0.596240585124938,-0.407643604989888,-0.0808150452034924,0.186998962175432,0.347336056084408
r_site:id[NYR_D229783,Intercept],0.95,0.8,median,-0.374141024405631,-0.210393755184983,0.0551170038252369,0.375942727310034,0.561570595041885
r_site:id[NYR_D229784,Intercept],0.95,0.8,median,-0.519191856992843,-0.333559771078162,-0.0234397903082641,0.261269928094399,0.445603524875507
r_site:id[NYR_D237276,Intercept],0.95,0.8,median,-0.601346220069479,-0.401179204758024,-0.0592907024805208,0.229236659200921,0.405745732586484
r_site:id[NYR_D237277,Intercept],0.95,0.8,median,-0.471377302570054,-0.275632422606811,0.0292562505271424,0.389555650611562,0.580829735887757
r_site:id[NYR_D237278,Intercept],0.95,0.8,median,-0.456217945594377,-0.255790142681919,0.0496303854742774,0.411143985118742,0.644691511392635
r_site:id[NYR_D237352,Intercept],0.95,0.8,median,-0.296768876778317,-0.146112585203983,0.131407843544383,0.523924498641806,0.758591119600347
r_site:id[NYR_D237360,Intercept],0.95,0.8,median,-0.41480621617487,-0.226283969309748,0.065720674297655,0.428719858241309,0.639049350764472
r_site:id[NYR_D237361,Intercept],0.95,0.8,median,-0.221498138135314,-0.0845965954048565,0.188141201707051,0.578674634453666,0.81015536444853
r_site:id[NYR_D237378,Intercept],0.95,0.8,median,-0.331868334100999,-0.16439209442072,0.13190216039375,0.518626979446783,0.768872969901773
r_site:id[NYR_D237379,Intercept],0.95,0.8,median,-0.502781746029633,-0.309226170607697,0.01784178008939,0.348082729401147,0.57264967300923
r_site:id[NYR_D237391,Intercept],0.95,0.8,median,-0.62020356544751,-0.446053833107733,-0.134671622784345,0.120616421719636,0.263801646281826
r_site:id[NYR_D237394,Intercept],0.95,0.8,median,-0.255805160965105,-0.0902695029403657,0.190902080293969,0.585705231434424,0.823709181469156
r_site:id[NYR_D243901,Intercept],0.95,0.8,median,-0.585808492970983,-0.397211356595314,-0.0694501445785126,0.193731677784662,0.376979101435207
r_site:id[NYR_D243916,Intercept],0.95,0.8,median,-0.634988098539009,-0.393514236783786,-0.066175051363222,0.224546247767254,0.385008617420883
r_site:id[NYR_D243918,Intercept],0.95,0.8,median,-0.515416713340147,-0.318743926700306,0.0063434966388352,0.347243712724135,0.559191213014375
r_site:id[NYR_D244032,Intercept],0.95,0.8,median,-0.498575907394416,-0.319302865116027,-0.0108664498300418,0.272126199473131,0.474646912896959
r_site:id[NYR_D244033,Intercept],0.95,0.8,median,-0.411914809654546,-0.220126482716356,0.0856146747823032,0.43828251979066,0.653014594976965
r_site:id[NYR_D244077,Intercept],0.95,0.8,median,-0.4410249207188,-0.244608538375092,0.0645492083169718,0.446257171650811,0.685223973412501
r_site:id[NYR_D244162,Intercept],0.95,0.8,median,-0.882646567869089,-0.612893150675979,-0.229617271512711,0.054804429510696,0.213428027541324
r_site:id[NYR_D244163,Intercept],0.95,0.8,median,-0.387616907531359,-0.181778628342943,0.109366224934421,0.514043460799287,0.723141748680723
r_site:id[NYR_D244168,Intercept],0.95,0.8,median,-0.248759364339717,-0.119961607719294,0.126601538715934,0.432014693127183,0.585736929225071
r_site:id[NYR_D244179,Intercept],0.95,0.8,median,-0.589951162268521,-0.400706103007337,-0.0428530668939461,0.240109528168393,0.425113177058147
r_site:id[NYR_D247994,Intercept],0.95,0.8,median,-0.67209572228113,-0.433663325378123,-0.0945504404927789,0.194419250904476,0.377066544213651
r_site:id[SAA_D229097,Intercept],0.95,0.8,median,-0.275073932448274,-0.106974936187724,0.170440733988255,0.545137658805916,0.790464270208533
r_site:id[SAA_D229103,Intercept],0.95,0.8,median,-0.606507605765947,-0.390944904785105,-0.0639994386565577,0.225355582116896,0.390163833561
r_site:id[SAA_D229160,Intercept],0.95,0.8,median,-0.403352678273332,-0.226786770372048,0.0519626329698102,0.351259297665348,0.53661621466423
r_site:id[SAA_D229161,Intercept],0.95,0.8,median,-0.463285334664286,-0.26081700051808,0.0507064694279205,0.419660527007015,0.627848164238341
r_site:id[SAA_D229162,Intercept],0.95,0.8,median,-0.646992666396351,-0.442147765439136,-0.0822470843867324,0.205906340580151,0.388342808382859
r_site:id[SAA_D229170,Intercept],0.95,0.8,median,-0.448474488523509,-0.281489868295067,0.0158007501300114,0.318050819224567,0.506991142359124
r_site:id[SAA_D229171,Intercept],0.95,0.8,median,-0.308404930155979,-0.1357801971338,0.149222381092855,0.514666035030041,0.796898432598581
r_site:id[SAA_D229186,Intercept],0.95,0.8,median,-0.260785169018438,-0.119553562157057,0.13310552556716,0.44432068079061,0.62799163898376
r_site:id[SAA_D229633,Intercept],0.95,0.8,median,-0.436928568640581,-0.255644648957794,0.0495915843114491,0.404844630497341,0.63736629795752
r_site:id[SAA_D229638,Intercept],0.95,0.8,median,-0.747575559690873,-0.512739070143982,-0.13700904521766,0.137663892652561,0.309308074552245
r_site:id[SAA_D229759,Intercept],0.95,0.8,median,-0.551786878341839,-0.362386641317326,-0.050917012697222,0.246175562108506,0.413150234739336
r_site:id[SAA_D229775,Intercept],0.95,0.8,median,-0.94832860929778,-0.701419844621798,-0.24082070389503,0.0648213100290936,0.229005064502889
r_site:id[SAA_D229777,Intercept],0.95,0.8,median,-0.318382516033255,-0.156587971166219,0.112345041155851,0.429767979833524,0.631142301471304
r_site:id[SAA_D229780,Intercept],0.95,0.8,median,-0.545771164578518,-0.373520451077364,-0.0496147704243465,0.219951009284801,0.380897983934158
r_site:id[SAA_D237232,Intercept],0.95,0.8,median,-0.39691263409612,-0.223879369265056,0.0762117099541752,0.386919742224252,0.609174112626259
r_site:id[SAA_D237233,Intercept],0.95,0.8,median,-0.686486082936023,-0.460244931611856,-0.105040933165309,0.187566424317715,0.366882479569415
r_site:id[SAA_D237355,Intercept],0.95,0.8,median,-0.45092601901446,-0.253391242706081,0.0593689406886956,0.414467619216365,0.685148111847388
r_site:id[SAA_D237369,Intercept],0.95,0.8,median,-0.563819127199914,-0.353916408240516,-0.00378434941407951,0.330765910102368,0.516339449411557
r_site:id[SAA_D237371,Intercept],0.95,0.8,median,-0.426868367618951,-0.220246541012892,0.0868427100375338,0.438810198301595,0.690540498866591
r_site:id[SAA_D244005,Intercept],0.95,0.8,median,-0.317392265702966,-0.152355083988899,0.102880689273398,0.428046474180717,0.608241174348375
r_site:id[SAA_D244029,Intercept],0.95,0.8,median,-0.321313999201984,-0.1548828130219,0.153455808033534,0.538455880888929,0.775154674625901
r_site:id[SAA_D244045,Intercept],0.95,0.8,median,-0.329637490682221,-0.159530758227602,0.149290852916435,0.544247133792464,0.746454561963957
r_site:id[SAA_D244073,Intercept],0.95,0.8,median,-0.655475767242281,-0.454613306447984,-0.0952272920009644,0.191320632662429,0.372099805384353
r_site:id[SAA_D244086,Intercept],0.95,0.8,median,-0.639738991293869,-0.417340866972102,-0.0755025100998226,0.21127408089781,0.373994674939705
