parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D229556,Intercept]	0.95	0.8	median	-0.5132283685175354	-0.3797208350455952	-0.14785709368895655	0.09585770112377437	0.2088496806527309
r_site:id[NYR_D229714,Intercept]	0.95	0.8	median	-0.22471953717596116	-0.050764715212300054	0.2891156853912429	0.6287508475259113	0.7675897080003024
r_site:id[NYR_D229716,Intercept]	0.95	0.8	median	-0.6886194655727716	-0.48053414093989494	-0.16921614356334688	0.17494699688387486	0.33647292748543706
r_site:id[NYR_D229718,Intercept]	0.95	0.8	median	-0.09807574424745355	0.012780944542273156	0.23296603918562114	0.43235105908758253	0.5458786305046699
r_site:id[NYR_D229770,Intercept]	0.95	0.8	median	-0.9360133576408632	-0.7560705050343928	-0.41803569594729934	-0.08372751209105764	0.08808565034901214
r_site:id[NYR_D229771,Intercept]	0.95	0.8	median	-0.9277872302054349	-0.7425349995164016	-0.4033710604740846	-0.07065099383134493	0.1105353556081347
r_site:id[NYR_D229772,Intercept]	0.95	0.8	median	-0.5595129389007064	-0.44030483288637706	-0.20595948904603503	0.03323475171965681	0.15149384398685045
r_site:id[NYR_D229783,Intercept]	0.95	0.8	median	-0.07864734192167355	0.059359657673100245	0.3230430566992506	0.5976151899149876	0.7551524530014897
r_site:id[NYR_D229784,Intercept]	0.95	0.8	median	-0.3744815217876902	-0.2209798079581611	0.0437904922695181	0.3100030192612032	0.437954254080148
r_site:id[NYR_D237276,Intercept]	0.95	0.8	median	-0.26242374081043573	-0.10225699404718357	0.1763657825242831	0.4647244207232043	0.62004671456926
r_site:id[NYR_D237277,Intercept]	0.95	0.8	median	-0.4420758166714881	-0.26973273985339125	0.06819844398669335	0.3922029542981455	0.5684760587519067
r_site:id[NYR_D237278,Intercept]	0.95	0.8	median	-0.6373480108086639	-0.45670689163239636	-0.1347818573215368	0.1957471524494942	0.3702282770811059
r_site:id[NYR_D237352,Intercept]	0.95	0.8	median	-0.7468644400080887	-0.5655053486118344	-0.2256897678437021	0.10379854219056023	0.2603762386057993
r_site:id[NYR_D237360,Intercept]	0.95	0.8	median	-0.1389801802489752	0.034619281073135506	0.38386357955018463	0.7145191095930169	0.8978682261250576
r_site:id[NYR_D237361,Intercept]	0.95	0.8	median	-0.6151000067647784	-0.4630510424470297	-0.17844644606627355	0.09007128588975521	0.2514234485674961
r_site:id[NYR_D237378,Intercept]	0.95	0.8	median	-0.7135523626384014	-0.5335495547434959	-0.20066726086217734	0.13563220304157553	0.3276835788425068
r_site:id[NYR_D237379,Intercept]	0.95	0.8	median	-0.9235516953677354	-0.7346813198903078	-0.4242813683480028	-0.09109362754426199	0.09606311178263474
r_site:id[NYR_D237391,Intercept]	0.95	0.8	median	-0.7518282044658373	-0.6407236992476484	-0.4345606549387071	-0.2360814683793343	-0.13036623224035215
r_site:id[NYR_D237394,Intercept]	0.95	0.8	median	-0.32435545129945265	-0.17409408796042045	0.09188241564982122	0.3730248316821639	0.5232487428795713
r_site:id[NYR_D243901,Intercept]	0.95	0.8	median	-0.8894183696842046	-0.7333418195040524	-0.4503404847205994	-0.17787920780799807	-0.0352191926307508
r_site:id[NYR_D243916,Intercept]	0.95	0.8	median	-0.317279344531625	-0.1742241780928387	0.10298511212173525	0.37908869143070506	0.5183053639260482
r_site:id[NYR_D243918,Intercept]	0.95	0.8	median	-0.22337396347134766	-0.03761056025960871	0.30156185520189704	0.6339118179491268	0.8193329967103105
r_site:id[NYR_D244032,Intercept]	0.95	0.8	median	-0.0039910630597190175	0.11717089759510367	0.3469309176401254	0.5871275317075252	0.7330823643626321
r_site:id[NYR_D244033,Intercept]	0.95	0.8	median	-0.38129034101875753	-0.2072089268682949	0.13055857755239775	0.46730719321704783	0.6661849981246107
r_site:id[NYR_D244077,Intercept]	0.95	0.8	median	-0.8564609318875069	-0.67218034276437	-0.36013569297410397	-0.02415441568909215	0.15553069787777582
r_site:id[NYR_D244162,Intercept]	0.95	0.8	median	-0.7252551651802814	-0.5695468532128816	-0.2938412828831921	-0.015012752646045995	0.12219512389381189
r_site:id[NYR_D244163,Intercept]	0.95	0.8	median	-0.43085411698889464	-0.2570202288548963	0.0917057114459725	0.4316049342402368	0.603349163384148
r_site:id[NYR_D244168,Intercept]	0.95	0.8	median	-0.3375771407889962	-0.21996944589777165	6.307411637476983e-4	0.2181938654579525	0.3318867623376618
r_site:id[NYR_D244179,Intercept]	0.95	0.8	median	-0.12019932545446972	0.027326659400404858	0.30362584455593455	0.5920818185230982	0.7189547903509003
r_site:id[NYR_D247994,Intercept]	0.95	0.8	median	-0.33424645688896465	-0.20015345605818569	0.09481415221721448	0.3760277496133518	0.5185738397083969
r_site:id[SAA_D229097,Intercept]	0.95	0.8	median	-0.4734356561727226	-0.33547530461648245	-0.05909257288851601	0.21350628849878753	0.33825215611506865
r_site:id[SAA_D229103,Intercept]	0.95	0.8	median	-0.4021499067963381	-0.25712195054808185	-2.0466862766463676e-4	0.27071966933844815	0.4235810623197844
r_site:id[SAA_D229160,Intercept]	0.95	0.8	median	-0.13159262365767566	0.003822671463362061	0.2373439069987465	0.47632132982676295	0.6103434752629862
r_site:id[SAA_D229161,Intercept]	0.95	0.8	median	-0.3938617071406963	-0.21030999090513097	0.13025457795217954	0.46084754296372804	0.655037657581336
r_site:id[SAA_D229162,Intercept]	0.95	0.8	median	-0.18019772349287522	-0.05216251670163828	0.19312610549370746	0.4373684582709416	0.5656071027481282
r_site:id[SAA_D229170,Intercept]	0.95	0.8	median	-0.7309621996182007	-0.5967699028551019	-0.3660983908040636	-0.12839802977701614	-0.007968026688429634
r_site:id[SAA_D229171,Intercept]	0.95	0.8	median	-0.031023632155235223	0.11733415983871877	0.391616580892294	0.6826588990779499	0.844020785977808
r_site:id[SAA_D229186,Intercept]	0.95	0.8	median	-0.3349214604547745	-0.19273483758312818	0.0649961711917951	0.3204628830502861	0.46851631543696204
r_site:id[SAA_D229633,Intercept]	0.95	0.8	median	0.3105477973551795	0.44533274187937316	0.6900881424613028	0.947088122556224	1.0884906370720886
r_site:id[SAA_D229638,Intercept]	0.95	0.8	median	-0.17379319220418402	0.02916006487769435	0.3667601095762941	0.7148604019211557	0.89754372362244
r_site:id[SAA_D229759,Intercept]	0.95	0.8	median	-0.3662074419062699	-0.22107983960884078	0.049375769427347414	0.32600979407357594	0.4532636786548245
r_site:id[SAA_D229775,Intercept]	0.95	0.8	median	-0.5377560340944033	-0.40860872109522456	-0.1358973621857562	0.15043769770731932	0.2757318538798914
r_site:id[SAA_D229777,Intercept]	0.95	0.8	median	-0.5599453375321966	-0.4224498121036321	-0.14796700617036318	0.1295130650899681	0.24092433935068236
r_site:id[SAA_D229780,Intercept]	0.95	0.8	median	-0.43269518780692295	-0.31940595274981237	-0.08056254489485651	0.16294398001436927	0.28573562440027983
r_site:id[SAA_D237232,Intercept]	0.95	0.8	median	-0.5995587178764995	-0.46617249728339866	-0.19414253526742248	0.07810165714750131	0.2091537303776858
r_site:id[SAA_D237233,Intercept]	0.95	0.8	median	-0.7926387386065118	-0.6296237146647914	-0.35421675381872725	-0.06865231402842314	0.07479855895664027
r_site:id[SAA_D237355,Intercept]	0.95	0.8	median	-0.5276573235108696	-0.3245676896041813	1.3732412826278456e-4	0.3397336955173281	0.505055810715708
r_site:id[SAA_D237369,Intercept]	0.95	0.8	median	-0.7010283700224091	-0.5139672179373296	-0.18656724602790162	0.13531529621341254	0.30657611050212186
r_site:id[SAA_D237370,Intercept]	0.95	0.8	median	-0.5039503262228765	-0.34335924012741503	3.703153355179709e-4	0.3532652273595065	0.5435321068227602
r_site:id[SAA_D237371,Intercept]	0.95	0.8	median	-0.4026161106743987	-0.19837363037921832	0.13488752620119998	0.47384980904097157	0.6473648984086168
r_site:id[SAA_D244005,Intercept]	0.95	0.8	median	-0.4624009549378773	-0.3142706779173746	-0.041951944524035986	0.22408095430659392	0.36419713349168575
r_site:id[SAA_D244029,Intercept]	0.95	0.8	median	-0.41116682216434663	-0.23701506123550417	0.09482877080550622	0.43200382720671604	0.6044970825704546
r_site:id[SAA_D244045,Intercept]	0.95	0.8	median	-0.7815422604980821	-0.6011968667984479	-0.2738127475136536	0.06472337780648911	0.2584522064128002
r_site:id[SAA_D244073,Intercept]	0.95	0.8	median	-0.3607302945193654	-0.23318056217473201	0.025957544718653795	0.3085639834362955	0.45932441770989013
r_site:id[SAA_D244086,Intercept]	0.95	0.8	median	-0.053173935595565915	0.0774071038661796	0.3602960660348276	0.6397547915199642	0.7793312508461938
r_site:id[SAA_D244087,Intercept]	0.95	0.8	median	-0.6465865373286691	-0.47211929421301163	-0.13894827405880197	0.2078346152449148	0.3629929527550551
