parameter	outer_width	inner_width	point_est	ll	l	m	h	hh
r_site:id[NYR_D244032,Intercept]	0.95	0.8	median	-0.39298062960039315	-0.23649881565284567	0.08602223349895136	0.40219494418893526	0.5901443650699897
r_site:id[NYR_D244033,Intercept]	0.95	0.8	median	-0.7384236600961631	-0.5113230324485692	-0.13491974082020292	0.2514748962438137	0.4433917498788649
r_site:id[NYR_D244077,Intercept]	0.95	0.8	median	-0.554119470722491	-0.36497438730491816	3.3710009051349005e-4	0.36708490368890545	0.5631434821000318
r_site:id[NYR_D244162,Intercept]	0.95	0.8	median	-0.6370454045079298	-0.45451434804343643	-0.09441868877396954	0.23239154588234104	0.4330836999853656
r_site:id[NYR_D244163,Intercept]	0.95	0.8	median	-0.5508775093180845	-0.35501467985961843	0.005594273030245504	0.3912655194555332	0.5991432495612348
r_site:id[NYR_D244168,Intercept]	0.95	0.8	median	-0.5659312391573551	-0.3805869864393811	-0.06501301261815232	0.22849624402764573	0.398122208203756
r_site:id[NYR_D244179,Intercept]	0.95	0.8	median	-0.48343683562166245	-0.30036137528722084	0.007578989839361887	0.316135038594926	0.506237165080105
r_site:id[NYR_D247994,Intercept]	0.95	0.8	median	-0.6115917400517863	-0.3941693145713876	-0.050095166040971195	0.29942427179956244	0.49512735885893805
r_site:id[SAA_D229097,Intercept]	0.95	0.8	median	-0.5275858307285701	-0.33120602517719777	0.008682299601780604	0.34979509168930534	0.527657012940357
r_site:id[SAA_D229103,Intercept]	0.95	0.8	median	-0.6954243432571279	-0.4829983779232013	-0.14396507638766382	0.1853248559655058	0.3589108642147293
r_site:id[SAA_D229160,Intercept]	0.95	0.8	median	-0.6261434764116403	-0.4121106100720791	-0.05249145894744303	0.3280847463096164	0.5242331192964335
r_site:id[SAA_D229161,Intercept]	0.95	0.8	median	-0.5570593102245069	-0.3592152229823879	0.017086691748968357	0.38341897399061414	0.5930249407048084
r_site:id[SAA_D229162,Intercept]	0.95	0.8	median	-0.588665159406381	-0.39675767981771864	-0.07545389270404479	0.2308637045860139	0.3979939565846961
r_site:id[SAA_D229170,Intercept]	0.95	0.8	median	-0.3907387640028052	-0.22868193435002326	0.08555241595344197	0.3992050985396604	0.5491109527898299
r_site:id[SAA_D229171,Intercept]	0.95	0.8	median	-0.43714947331446063	-0.2751816544653101	0.05244808586860692	0.3910461757508202	0.5854372288369976
r_site:id[SAA_D229186,Intercept]	0.95	0.8	median	-0.5416024268272168	-0.375142746095788	-0.04715352077830704	0.2711347884824484	0.4641787335133473
r_site:id[SAA_D229633,Intercept]	0.95	0.8	median	-0.51972564260049	-0.32491667867187024	0.019117067921770883	0.3592297644596619	0.5556093033088589
r_site:id[SAA_D229638,Intercept]	0.95	0.8	median	-0.7560701963364049	-0.5551656128158097	-0.14601053128210822	0.21901742559121895	0.4416455705212447
r_site:id[SAA_D229759,Intercept]	0.95	0.8	median	-0.41203152057476633	-0.2208215131332858	0.14826796550604912	0.5455150581209297	0.7854253157622652
r_site:id[SAA_D229775,Intercept]	0.95	0.8	median	-0.5150999030358888	-0.30971017194797923	0.06822578479687232	0.4469146996293394	0.6812010677210204
r_site:id[SAA_D229777,Intercept]	0.95	0.8	median	-0.5550578968259925	-0.3653954249660444	-0.05158629738911011	0.2581266620887288	0.4088569395148632
r_site:id[SAA_D229780,Intercept]	0.95	0.8	median	-0.21515348580126611	-0.0531448662812071	0.25624341706757425	0.5946601429945022	0.7752866143679525
r_site:id[SAA_D237232,Intercept]	0.95	0.8	median	-0.6043059370528406	-0.41790004504667644	-0.06617487054676194	0.2519964917144592	0.4209582072228701
r_site:id[SAA_D237233,Intercept]	0.95	0.8	median	-0.7390358362718322	-0.55549524130513	-0.2007038702392438	0.10299168946980697	0.27780211818066114
r_site:id[SAA_D237355,Intercept]	0.95	0.8	median	-0.6448880426956817	-0.4362844345253928	-0.05539619052848682	0.30798312220092994	0.5133878543547757
r_site:id[SAA_D237369,Intercept]	0.95	0.8	median	-0.571999754278129	-0.3770201874833607	-0.0035229113344373243	0.37027875423813605	0.5617191108383974
r_site:id[SAA_D237371,Intercept]	0.95	0.8	median	-0.557390157352816	-0.34568260778169696	0.005912609295636006	0.3730183453873048	0.579081227752667
r_site:id[SAA_D244005,Intercept]	0.95	0.8	median	-0.3870671429571464	-0.2127825271135917	0.11727892625771802	0.47092762068192123	0.6876310002380982
r_site:id[SAA_D244029,Intercept]	0.95	0.8	median	-0.6184562170574106	-0.4008174630607161	-0.024547437931771117	0.3358623694307162	0.558503720832809
r_site:id[SAA_D244073,Intercept]	0.95	0.8	median	-0.37222208247128413	-0.19697809297232166	0.12512905759226725	0.47855060815968176	0.6733756978967577
r_site:id[SAA_D244086,Intercept]	0.95	0.8	median	-0.6949817587541081	-0.49940910687179607	-0.1483345822209906	0.1844016792923585	0.36900129833637
r_site:id[SAA_D244087,Intercept]	0.95	0.8	median	-0.4298324567528753	-0.24080049982499355	0.11264483129021267	0.48895071020699465	0.7065854492945861
r_site:id[SAA_D244123,Intercept]	0.95	0.8	median	-0.8284413916400207	-0.6085155581881277	-0.2167214953729557	0.13296722351698667	0.33189012615764507
r_site:id[TEE_D154259,Intercept]	0.95	0.8	median	-0.31840042479211855	-0.1523981483401196	0.17000526804894717	0.4949875033248357	0.6777940697755539
r_site:id[TEE_D154299,Intercept]	0.95	0.8	median	-0.31439853734578926	-0.1507402599413283	0.14896402047853946	0.4880805071349974	0.6906336541333588
r_site:id[TEE_D211445,Intercept]	0.95	0.8	median	-0.09636429988454573	0.06006066336001659	0.3659042610567897	0.6975620911336018	0.8559211515027545
r_site:id[TEE_D211451,Intercept]	0.95	0.8	median	-0.3318900810783196	-0.14510521619226588	0.1837119185427269	0.5667708112335615	0.7622732907783006
r_site:id[TEE_D217810,Intercept]	0.95	0.8	median	-0.654126885712888	-0.4668762361489683	-0.12012149872040905	0.21977329619085118	0.4094358268606732
r_site:id[TEE_D217831,Intercept]	0.95	0.8	median	-0.4982747854625308	-0.3041887817405678	0.03691816232116156	0.35096112727945955	0.5347040402310002
r_site:id[TEE_D217835,Intercept]	0.95	0.8	median	-0.7148051044108896	-0.5310885615982518	-0.16373750850058982	0.18702806469748706	0.3874977411903529
r_site:id[TEE_D217864,Intercept]	0.95	0.8	median	-0.763308013151919	-0.5480885845593981	-0.184273767674849	0.1407345514049825	0.33041669827076803
r_site:id[TEE_D217993,Intercept]	0.95	0.8	median	0.03181229588507621	0.19872047998595765	0.553410814241384	0.9343144983202516	1.1406572714564844
r_site:id[TEE_D229063,Intercept]	0.95	0.8	median	-0.5841402621800442	-0.3869386446795396	-0.04506272502658569	0.2885224639631525	0.5161875008798139
r_site:id[TEE_D229155,Intercept]	0.95	0.8	median	-0.40823096806571907	-0.22418642821878734	0.08980959441370806	0.4169326966399842	0.5851706169296498
r_site:id[TEE_D229675,Intercept]	0.95	0.8	median	-0.499396097272631	-0.31161618549904413	0.054059040739957376	0.42766879146909076	0.6714800817245675
r_site:id[TEE_D229676,Intercept]	0.95	0.8	median	-0.4762660561465259	-0.2610140257803223	0.10221399804179465	0.4763217547326565	0.6902925274899625
r_site:id[TEE_D229705,Intercept]	0.95	0.8	median	-0.25438789932760886	-0.12244031852828653	0.16158797240873388	0.466983783320652	0.6185081621665484
r_site:id[TEE_D229707,Intercept]	0.95	0.8	median	-0.6453622077030741	-0.44280727947441373	-0.09104498498411806	0.2341343988673143	0.41593691353403284
r_site:id[TEE_D229753,Intercept]	0.95	0.8	median	-0.4098193916753569	-0.24904913360432565	0.07526395665103493	0.3897152308884108	0.5412062725773391
r_site:id[TEE_D237304,Intercept]	0.95	0.8	median	-0.4895204658971667	-0.312078464535061	0.033396982784658795	0.38312794453606974	0.5668237288418722
r_site:id[TEE_D237385,Intercept]	0.95	0.8	median	-0.5098429852377595	-0.30646564417242234	0.036315391128524666	0.38695172332939304	0.5929875649654487
r_site:id[TEE_D244025,Intercept]	0.95	0.8	median	-0.7519770543501053	-0.5266861591054368	-0.18079568506156612	0.1684268266621929	0.3358345221531871
r_site:id[TEE_D244027,Intercept]	0.95	0.8	median	-0.7486575454060791	-0.5433514536528761	-0.22661275089796867	0.05529124430382056	0.21962443384764002
r_year[2002,Intercept]	0.95	0.8	median	0.2265597391043385	0.34931867568179814	0.647988639255237	0.9661293652167204	1.1366611309170565
r_year[2003,Intercept]	0.95	0.8	median	-0.47038027320010967	-0.3652782471427116	-0.13786816325237145	0.06628051251590261	0.16481946874770856
r_year[2004,Intercept]	0.95	0.8	median	-0.5730103318120395	-0.453738681767803	-0.2320118827620783	-0.0411249957772337	0.08167210278585532
r_year[2005,Intercept]	0.95	0.8	median	-0.5700284702899026	-0.45027558982553423	-0.25118231526416795	-0.06405634145952513	0.050422645963728786
r_year[2006,Intercept]	0.95	0.8	median	-0.07661529967712995	0.027352710071037716	0.21355340472697598	0.4077199211149313	0.5021545979049865
r_year[2007,Intercept]	0.95	0.8	median	-0.5668913958291509	-0.4553913865868199	-0.26348619617927405	-0.08507047921479181	0.0045584842542847545
r_year[2008,Intercept]	0.95	0.8	median	0.05880954484104601	0.15826044071679404	0.3269856699579917	0.5122107878902126	0.6075617911009369
r_year[2009,Intercept]	0.95	0.8	median	-0.5999961083388753	-0.45925726050887405	-0.2443159720933354	-0.048496234600001346	0.07367436814160461
r_year[2010,Intercept]	0.95	0.8	median	-0.43915962239772005	-0.2896591466178499	-0.04576049696925704	0.19769461099840807	0.32689439752510896
r_year[2011,Intercept]	0.95	0.8	median	-0.4288308581838325	-0.2904946317070508	-0.013043198153752378	0.2528248817829081	0.38948793189704106
r_year[2012,Intercept]	0.95	0.8	median	-0.6420877305876271	-0.3965683528668704	-0.027292955710008972	0.3436419730226501	0.5496798734178341
r_year[2013,Intercept]	0.95	0.8	median	-0.5687409361157503	-0.3755372471546283	0.039457410933578546	0.4693983259953707	0.6996419355785041
lprior	0.95	0.8	median	-9.811032794114555	-9.732173793975734	-9.589738203311233	-9.457302603002482	-9.3937967241056
lp__	0.95	0.8	median	-720.0912398591647	-708.8229125090111	-686.8518848045646	-666.6954035325591	-656.5260337552614
