id	gerp_cat	n_total	n_genotyped	gerp_count_t_v2	gerp_Lt_additive
D229192	1-2	536152	483073	89052	0.18434480916962862
D229192	2-3	421585	379953	67945	0.1788247493768966
D229192	3-4	536380	486425	84691	0.17410906100632162
D229192	4-5	404284	368986	56107	0.15205725962502642
D229193	0-1	1016065	861385	164461	0.19092624087951382
D229193	1-2	536152	459490	84405.5	0.18369387799516856
D229193	2-3	421585	362186	64663.5	0.1785367187025451
D229193	3-4	536380	475902	82761	0.1739034507104404
D229193	4-5	404284	361302	55035.5	0.1523254784086443
D229509	0-1	1016065	995447	191624	0.19250045456965564
D229509	1-2	536152	527418	97558	0.1849728298996242
D229509	2-3	421585	414803	74399	0.17935984069546265
D229509	3-4	536380	528979	92477.5	0.17482263000988696
D229509	4-5	404284	399747	61099	0.15284417394001706
D229512	0-1	1016065	998775	192880	0.19311656779554956
D229512	1-2	536152	530522	98568.5	0.1857953110332842
D229512	2-3	421585	416958	75183.5	0.18031432422450222
D229512	3-4	536380	527746	92443	0.17516570471401016
D229512	4-5	404284	397905	60606.5	0.15231399454643696
D229518	0-1	1016065	995496	192184.5	0.19305401528484292
D229518	1-2	536152	527095	97676	0.18531004847323537
D229518	2-3	421585	414706	74414	0.1794379632800104
D229518	3-4	536380	528519	92333.5	0.17470232858232154
D229518	4-5	404284	399149	60589	0.15179544480883078
D229556	0-1	1016065	961960	184297	0.19158488918458147
D229556	1-2	536152	506321	93303	0.1842763780289579
D229556	2-3	421585	398888	71322	0.17880206975391588
D229556	3-4	536380	517438	90451	0.1748054839420375
D229556	4-5	404284	393935	60132	0.15264447180372395
D229560	0-1	1016065	990868	191050.5	0.19281125235651975
D229560	1-2	536152	524518	97276.5	0.1854588403067197
D229560	2-3	421585	412827	74599.5	0.18070402371937883
D229560	3-4	536380	527365	91998	0.17444843704075924
D229560	4-5	404284	398587	60748	0.15240838261157538
D229599	0-1	1016065	991533	190838.5	0.19246812763669993
D229599	1-2	536152	524898	97027	0.18484924690130272
D229599	2-3	421585	412992	73729	0.1785240392065706
D229599	3-4	536380	527533	92062.5	0.17451514881533478
D229599	4-5	404284	398952	60835.5	0.15248826926547554
D229630	0-1	1016065	993691	191836	0.19305397754432715
D229630	1-2	536152	525949	97908.5	0.18615588203418962
D229630	2-3	421585	413761	74411	0.1798405359615817
D229630	3-4	536380	527788	92341.5	0.17495945341690225
D229630	4-5	404284	398537	60974	0.15299457766782004
D229633	0-1	1016065	928606	177600.5	0.19125495635393266
D229633	1-2	536152	491904	90593	0.1841680490502212
D229633	2-3	421585	387872	69180.5	0.1783590978467123
D229633	3-4	536380	501739	87354	0.1741024716037621
D229633	4-5	404284	379543	57610	0.15178780796905753
D229635	0-1	1016065	997753	192101.5	0.19253412417702578
D229635	1-2	536152	528151	97692.5	0.1849707754032464
D229635	2-3	421585	415446	74427.5	0.179150840301748
D229635	3-4	536380	529051	92601	0.17503227477124134
D229635	4-5	404284	399473	61178	0.15314677087062203
D229638	0-1	1016065	992763	191308.5	0.19270309227882185
D229638	1-2	536152	525432	97180	0.18495257235950607
D229638	2-3	421585	413493	74753.5	0.1807854062825731
D229638	3-4	536380	527592	92214.5	0.17478373440082487
D229638	4-5	404284	398412	60854	0.15274138329166792
D229646	0-1	1016065	998813	192647.5	0.1928764443394309
D229646	1-2	536152	529190	97821.5	0.1848513766322115
D229646	2-3	421585	416088	74599	0.17928659322066487
D229646	3-4	536380	529914	92756.5	0.17504066697615084
D229646	4-5	404284	400078	60802.5	0.15197661456016076
D229648	0-1	1016065	992462	190652.5	0.19210055397587011
D229648	1-2	536152	525349	97089	0.18480857487118088
D229648	2-3	421585	413329	74100	0.1792760730556046
D229648	3-4	536380	526209	91967.5	0.17477371158608082
D229648	4-5	404284	397315	60744	0.15288624894605035
D229658	0-1	1016065	950476	182828	0.19235414676435808
D229658	1-2	536152	502765	92939	0.1848557477151353
D229658	2-3	421585	396034	71113.5	0.1795641283324159
D229658	3-4	536380	510567	89059.5	0.17443254264376665
D229658	4-5	404284	386821	59011.5	0.1525550577657366
D229675	0-1	1016065	973771	187147	0.19218789633291605
D229675	1-2	536152	515600	95397	0.18502133436772691
D229675	2-3	421585	405661	73053	0.18008386312709382
D229675	3-4	536380	519815	90805	0.17468714831238036
D229675	4-5	404284	393049	60068.5	0.15282700121358914
D229676	0-1	1016065	997462	192635.5	0.19312565290707817
D229676	1-2	536152	528086	98145	0.18585041072855557
D229676	2-3	421585	415614	74869.5	0.18014191052274467
D229676	3-4	536380	529476	92591.5	0.17487383752993527
D229676	4-5	404284	399749	61183.5	0.1530547918819059
D229679	0-1	1016065	887262	169141	0.19063253018837728
D229679	1-2	536152	470237	86472.5	0.1838913143797702
D229679	2-3	421585	370736	66150.5	0.1784302037029045
D229679	3-4	536380	479997	83271.5	0.17348337593776628
D229679	4-5	404284	361744	54857.5	0.15164729753637932
D229705	0-1	1016065	948942	182073.5	0.19186999837714003
D229705	1-2	536152	503357	92743	0.1842489525326955
D229705	2-3	421585	396105	70906.5	0.17900935358049003
D229705	3-4	536380	510832	89229	0.17467386538039903
D229705	4-5	404284	387056	59011.5	0.15246243437642099
D229707	0-1	1016065	975680	187619.5	0.1922961421777632
D229707	1-2	536152	515057	95082	0.18460481072968624
D229707	2-3	421585	405451	72452	0.17869483612076428
D229707	3-4	536380	522803	91504.5	0.17502673091011337
D229707	4-5	404284	396487	60413.5	0.15237195670980386
D229714	0-1	1016065	934368	179291.5	0.19188531713414844
D229714	1-2	536152	502151	92737.5	0.18468050446977105
D229714	2-3	421585	395447	70595.5	0.17852076258006763
D229714	3-4	536380	506059	88100.5	0.17409136088875013
D229714	4-5	404284	382431	58316.5	0.1524889457183126
D229716	0-1	1016065	991919	190707	0.1922606583803718
D229716	1-2	536152	524825	97287	0.1853703615490878
D229716	2-3	421585	412954	74159	0.17958174518227213
D229716	3-4	536380	526454	91909	0.17458125496244686
D229716	4-5	404284	397329	60554.5	0.1524039272240385
D229718	0-1	1016065	995383	191878.5	0.192768512220924
D229718	1-2	536152	526880	97413	0.18488650167020954
D229718	2-3	421585	414562	74178	0.17893101634978603
D229718	3-4	536380	528321	92272	0.17465139564772175
D229718	4-5	404284	398717	60725	0.15230100547506126
D229721	0-1	1016065	991380	191522.5	0.19318777865198006
D229721	1-2	536152	524635	97141.5	0.18516015896766322
