      2 ScEsiA3_12382;HRSCAF=13924
      8 ScEsiA3_12384;HRSCAF=13928
      3 ScEsiA3_12386;HRSCAF=13932
     24 ScEsiA3_12389;HRSCAF=13936
      1 ScEsiA3_12390;HRSCAF=13937
      4 ScEsiA3_12394;HRSCAF=13941
      1 ScEsiA3_12395;HRSCAF=13943
      3 ScEsiA3_12397;HRSCAF=13946
      6 ScEsiA3_12399;HRSCAF=13950
      6 ScEsiA3_12400;HRSCAF=13951
     77 ScEsiA3_12401;HRSCAF=13952
     37 ScEsiA3_12403;HRSCAF=13954
     20 ScEsiA3_12405;HRSCAF=13956
     10 ScEsiA3_12407;HRSCAF=13958
     16 ScEsiA3_12414;HRSCAF=13975
      8 ScEsiA3_12415;HRSCAF=13976
      8 ScEsiA3_12418;HRSCAF=13981
      1 ScEsiA3_1241;HRSCAF=1850
