X,loc,file,id_k,E,L,run,rawid,id
143,/vol/cluster-data/rchen/wgr/data/processed/D243940k_E100041398_L01_ANIscleR181573-685.sorted.bam,D243940k_E100041398_L01_ANIscleR181573-685.sorted.bam,D243940k,E100041398,L01,ANIscleR181573-685.sorted.bam,D243940,D243940
144,/vol/cluster-data/rchen/wgr/data/processed/D243950k_E100041398_L01_ANIscleR181574-686.sorted.bam,D243950k_E100041398_L01_ANIscleR181574-686.sorted.bam,D243950k,E100041398,L01,ANIscleR181574-686.sorted.bam,D243950,D243950
145,/vol/cluster-data/rchen/wgr/data/processed/D244001k_E100042332_L01_ANIscleR181552-656.sorted.bam,D244001k_E100042332_L01_ANIscleR181552-656.sorted.bam,D244001k,E100042332,L01,ANIscleR181552-656.sorted.bam,D244001,D244001
146,/vol/cluster-data/rchen/wgr/data/processed/D244005k_E100042332_L01_ANIscleR181553-701.sorted.bam,D244005k_E100042332_L01_ANIscleR181553-701.sorted.bam,D244005k,E100042332,L01,ANIscleR181553-701.sorted.bam,D244005,D244005
147,/vol/cluster-data/rchen/wgr/data/processed/D244017k_E100044901_L01_merge.sorted.bam,D244017k_E100044901_L01_merge.sorted.bam,D244017k,E100044901,L01,merge.sorted.bam,D244017,D244017
148,/vol/cluster-data/rchen/wgr/data/processed/D244025k_E100041398_L01_ANIscleR181575-687.sorted.bam,D244025k_E100041398_L01_ANIscleR181575-687.sorted.bam,D244025k,E100041398,L01,ANIscleR181575-687.sorted.bam,D244025,D244025
149,/vol/cluster-data/rchen/wgr/data/processed/D244027k_E100041398_L01_ANIscleR181576-688.sorted.bam,D244027k_E100041398_L01_ANIscleR181576-688.sorted.bam,D244027k,E100041398,L01,ANIscleR181576-688.sorted.bam,D244027,D244027
150,/vol/cluster-data/rchen/wgr/data/processed/D244029_E100041922_L01_ANIscleR181626-755.sorted.bam,D244029_E100041922_L01_ANIscleR181626-755.sorted.bam,D244029,E100041922,L01,ANIscleR181626-755.sorted.bam,D244029,D244029
151,/vol/cluster-data/rchen/wgr/data/processed/D244032k_E100041398_L01_ANIscleR181577-690.sorted.bam,D244032k_E100041398_L01_ANIscleR181577-690.sorted.bam,D244032k,E100041398,L01,ANIscleR181577-690.sorted.bam,D244032,D244032
152,/vol/cluster-data/rchen/wgr/data/processed/D244033k_E100041398_L01_ANIscleR181578-691.sorted.bam,D244033k_E100041398_L01_ANIscleR181578-691.sorted.bam,D244033k,E100041398,L01,ANIscleR181578-691.sorted.bam,D244033,D244033
